state,medals,location,lat,lon
AK,68,Alaska,28.12768,-117.981766
AL,7,Alabama,32.688053,-86.810585
AR,7,Arkansas,34.755883,-92.640559
AZ,88,Arizona,34.255149,-111.62621
CA,892,California,36.531544,-119.586168
CO,649,Colorado,38.996664,-105.547822
CT,8,Connecticut,41.580163,-72.756629
DC,5,District of Columbia,38.912097,-77.014683
DE,53,Delaware,38.978849,-75.46014
FL,43,Florida,27.97762,-81.769611
GA,34,Georgia,32.53951,-83.380775
HI,17,Hawaii,24.200987,-104.313994
IA,20,Iowa,42.039943,-93.500069
ID,22,Idaho,43.764877,-114.964267
IL,148,Illinois,40.265028,-89.191575
IN,67,Indiana,39.904493,-86.250281
KS,35,Kansas,38.500327,-98.380429
KY,20,Kentucky,37.696825,-84.924095
LA,6,Louisiana,30.542601,-92.51441
MA,103,Massachusetts,42.358752,-71.531484
MD,57,Maryland,39.038828,-76.346717
ME,18,Maine,45.243327,-69.171071
MI,94,Michigan,43.924812,-84.633107
MN,62,Minnesota,46.63636,-94.579641
MO,136,Missouri,38.353141,-92.747022
MS,5,Mississippi,32.921921,-89.687118
MT,43,Montana,47.001265,-109.645406
NC,50,North Carolina,35.387362,-78.455056
ND,6,North Dakota,47.471495,-100.469096
NE,11,Nebraska,41.499671,-99.810075
NH,20,New Hampshire,43.644386,-71.586283
NJ,25,New Jersey,39.66502,-74.738208
NM,58,New Mexico,34.498624,-106.108278
NV,53,Nevada,39.440688,-116.598569
NY,145,New York,42.165726,-74.948051
OH,109,Ohio,40.262259,-82.883453
OK,2,Oklahoma,35.455622,-97.508021
OR,324,Oregon,43.854178,-120.526709
PA,227,Pennsylvania,40.860198,-77.838617
RI,4,Rhode Island,41.587536,-71.514739
SC,14,South Carolina,33.702857,-80.627523
TN,56,Tennessee,35.820245,-86.343764
TX,229,Texas,31.030974,-98.326329
UT,87,Utah,39.098999,-111.878816
VA,113,Virginia,37.73086,-78.376655
VT,22,Vermont,44.211857,-72.681238
WA,190,Washington,47.372269,-120.59234
WI,275,Wisconsin,44.356004,-89.466198
WY,54,Wyoming,43.001645,-107.55153
